"Date","Price","Open","High","Low","Vol.","Change %"
"01/01/1997","786.20","740.70","794.70","729.50","","6.14%"
"12/01/1996","740.70","757.00","761.80","716.70","","-2.15%"
"11/01/1996","757.00","705.30","762.10","701.30","","7.33%"
"10/01/1996","705.30","687.30","714.10","684.40","","2.62%"
"09/01/1996","687.30","652.00","690.90","644.00","","5.41%"
"08/01/1996","652.00","640.00","670.70","639.50","","1.88%"
"07/01/1996","640.00","670.60","675.90","605.90","","-4.56%"
"06/01/1996","670.60","669.10","680.30","658.80","","0.22%"
"05/01/1996","669.10","654.20","681.10","630.10","","2.28%"
"04/01/1996","654.20","645.50","656.70","624.10","","1.35%"
"03/01/1996","645.50","640.40","657.00","627.60","","0.80%"
"02/01/1996","640.40","636.00","664.20","633.70","","0.69%"
"01/01/1996","636.00","615.90","636.20","597.30","","3.26%"
"12/01/1995","615.90","605.40","622.90","605.00","","1.73%"
"11/01/1995","605.40","581.50","608.70","581.00","","4.11%"
"10/01/1995","581.50","584.40","590.70","571.50","","-0.50%"
"09/01/1995","584.40","561.90","587.60","561.00","","4.00%"
"08/01/1995","561.90","562.10","565.60","553.00","","-0.04%"
"07/01/1995","562.10","544.80","565.40","542.50","","3.18%"
"06/01/1995","544.80","533.40","551.10","526.00","","2.14%"
"05/01/1995","533.40","514.80","533.40","513.00","","3.63%"
"04/01/1995","514.70","500.70","515.30","500.20","","2.80%"
"03/01/1995","500.70","487.40","508.10","479.70","","2.73%"
"02/01/1995","487.40","470.40","489.20","469.30","","3.61%"
"01/01/1995","470.40","459.20","471.40","457.20","","2.42%"
"12/01/1994","459.30","453.60","462.70","442.90","","1.23%"
"11/01/1994","453.70","472.30","472.30","444.20","","-3.96%"
"10/01/1994","472.40","462.70","474.70","449.30","","2.10%"
"09/01/1994","462.70","475.50","475.50","458.50","","-2.69%"
"08/01/1994","475.50","458.30","477.60","456.10","","3.75%"
"07/01/1994","458.30","444.30","459.30","443.60","","3.15%"
"06/01/1994","444.30","456.50","463.20","439.80","","-2.67%"
"05/01/1994","456.50","450.90","457.80","440.80","","1.24%"
"04/01/1994","450.90","445.70","452.80","435.90","","1.14%"
"03/01/1994","445.80","467.20","471.10","436.20","","-4.56%"
"02/01/1994","467.10","481.60","482.20","464.30","","-3.01%"